03-25-2020 20:03:00.959 INFO  DispatchCommandProcessor - summaryHash=54e7549fbc0b006e summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_54e7549fbc0b006e remoteSearch=prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.959 INFO  DispatchCommandProcessor - summaryHash=NSc878de13c19bab4b summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_NSc878de13c19bab4b remoteSearch=prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.963 INFO  DispatchThread - Setting summary_mode=NONE after optimization
03-25-2020 20:03:00.963 INFO  DispatchThread - SrchOptMetrics FinalEval=0.004227502
03-25-2020 20:03:00.963 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.963 INFO  UserManager - Done setting user context: splunk-system-user -> splunk-system-user
03-25-2020 20:03:00.964 INFO  UserManager - Unwound user context: splunk-system-user -> splunk-system-user
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Stream search: prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.964 INFO  ExternalResultProvider - No external result providers are configured
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - ERP_FACTORY initialized, but zero external result provider, hence disabling _isERPCollectionEnabled
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Default search group:dmc_group_indexer
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:USRLSPLNKIDX002 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'USRLSPLNKIDX002' because it has been optimized out. 
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx001 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx001' because it has been optimized out. 
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx003 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx003' because it has been optimized out. 
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx004 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx004' because it has been optimized out. 
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx005 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx005' because it has been optimized out. 
03-25-2020 20:03:00.964 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx006 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.964 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx006' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx007 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx007' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx008 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx008' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx009 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx009' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx010 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx010' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx011 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx011' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx012 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx012' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  SearchTargeter - Not connecting to peer:usrlsplnkidx013 because none of it's groups match :^dmc_group_license_master$
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Not connecting to peer 'usrlsplnkidx013' because it has been optimized out. 
03-25-2020 20:03:00.965 INFO  DistributedSearchResultCollectionManager - Connecting to peer usrlsplunkmstidx connectAll 0 connectToSpecificPeer 1
03-25-2020 20:03:00.966 INFO  DispatchThread - Error reading runtime settings: File :/home/splunker/splunk/var/run/splunk/dispatch/subsearch_tmp_1585184580.1/runtime.csv does not exist
03-25-2020 20:03:00.966 INFO  DispatchThread - Disk quota = 10485760000
03-25-2020 20:03:00.966 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.966 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.967 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.967 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.967 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.967 INFO  SearchParser - PARSING: prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/groups?count=0"
03-25-2020 20:03:00.967 INFO  SearchOperator:rest - built uri=/services/licenser/groups?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.967 INFO  LocalCollector - Final required fields list = *
